Movie Name,Year,Duration,Rated,Score,Metascore
Inherent Vice,2014,2h 28m,R,6.6,81
Sisters,2015,1h 58m,R,6,58
You'll Never Find Me,2023,1h 40m,Other,5.8,82
Rampage,2018,1h 47m,PG-13,6.1,45
Star Trek Into Darkness,2013,2h 12m,PG-13,7.7,72
Pacific Rim: Uprising,2018,1h 51m,PG-13,5.6,44
Cowboys & Aliens,2011,1h 59m,PG-13,6,50
Nyad,2023,2h 1m,PG-13,7.1,63
We Need to Talk About Kevin,2011,1h 52m,R,7.5,68
Noah,2014,2h 18m,PG-13,5.8,68
The Pod Generation,2023,1h 50m,PG-13,5.6,60
Battleship,2012,2h 11m,PG-13,5.8,41
The Highwaymen,2019,2h 12m,R,6.9,58
My Big Fat Greek Wedding,2002,1h 35m,PG,6.6,62
The Vow,2012,1h 44m,PG-13,6.8,43
Where the Heart Is,2000,2h,PG-13,6.7,30
John Carter,2012,2h 12m,PG-13,6.6,51
I Care a Lot,2020,1h 58m,R,6.4,66
Gone in 60 Seconds,2000,1h 58m,PG-13,6.5,35
Memory,2023,1h 43m,R,6.6,71
Chef,2014,1h 54m,R,7.3,68
The Hangover Part II,2011,1h 42m,R,6.5,44
Traffic,2000,2h 27m,R,7.6,86
The Whole Nine Yards,2000,1h 38m,R,6.7,47
The Conjuring: The Devil Made Me Do It,2021,1h 52m,R,6.3,53
Fast Charlie,2023,1h 30m,Other,6,65
Mission: Impossible II,2000,2h 3m,PG-13,6.1,59
Reality,2023,1h 23m,TV-MA,6.7,84
"I, Tonya",2017,1h 59m,R,7.5,77
The Predator,2018,1h 47m,R,5.3,48
The Dictator,2012,1h 23m,R,6.5,58
Jerry and Marge Go Large,2022,1h 36m,PG-13,6.9,52
Jason Bourne,2016,2h 3m,PG-13,6.6,58
Kiss Kiss Bang Bang,2005,1h 43m,R,7.5,73
House of 1000 Corpses,2003,1h 29m,R,6,31
"Love, Rosie",2014,1h 42m,R,7.1,44
Forgetting Sarah Marshall,2008,1h 51m,R,7.1,67
Rambo: Last Blood,2019,1h 29m,R,6.1,26
Contagion,2011,1h 46m,PG-13,6.8,70
Blow,2001,2h 4m,R,7.5,52
The Invisible Guest,2016,1h 46m,TV-MA,8,0
Cars 3,2017,1h 42m,G,6.7,59
Sweeney Todd: The Demon Barber of Fleet Street,2007,1h 56m,R,7.3,83
47 Meters Down: Uncaged,2019,1h 30m,PG-13,5,43
Pleasure,2021,1h 49m,R,6.4,75
Operation Mincemeat,2021,2h 8m,PG-13,6.6,65
Wedding Crashers,2005,1h 59m,R,7,64
The Death of Stalin,2017,1h 47m,R,7.3,88
The Teachers' Lounge,2023,1h 38m,PG-13,7.5,82
Bumblebee,2018,1h 54m,PG-13,6.7,66
Five Feet Apart,2019,1h 56m,PG-13,7.2,53
The Founder,2016,1h 55m,PG-13,7.2,66
The VelociPastor,2018,1h 15m,Other,5.1,0
Pitch Perfect 3,2017,1h 33m,PG-13,5.8,40
She's the Man,2006,1h 45m,PG-13,6.4,45
The Fundamentals of Caring,2016,1h 37m,TV-MA,7.3,55
Lincoln,2012,2h 30m,PG-13,7.3,87
Another Round,2020,1h 57m,Other,7.7,79
Justice League,2017,2h,PG-13,6.1,45
Panic Room,2002,1h 52m,R,6.8,65
Orion and the Dark,2024,1h 33m,TV-Y7,6.3,72
The Raid: Redemption,2011,1h 41m,R,7.6,73
The American,2023,1h 50m,Other,6.9,0
She's Out of My League,2010,1h 44m,R,6.4,46
The Iceman,2012,1h 46m,R,6.8,60
Eastern Promises,2007,1h 40m,R,7.6,83
Friends with Benefits,2011,1h 49m,R,6.5,63
The Lincoln Lawyer,2011,1h 58m,R,7.3,63
Hostiles,2017,2h 14m,R,7.2,65
The Purge,2013,1h 25m,R,5.7,41
Blood Diamond,2006,2h 23m,R,8,64
Oldboy,2013,1h 44m,R,5.8,49
Atlantis: The Lost Empire,2001,1h 35m,PG,6.9,52
Role Play,2024,1h 40m,R,5.5,0
The Empty Man,2020,2h 17m,R,6.2,0
The Divergent Series: Insurgent,2015,1h 59m,PG-13,6.2,42
Perfume: The Story of a Murderer,2006,2h 27m,R,7.5,56
Forever My Girl,2018,1h 48m,PG,6.6,36
Monsters University,2013,1h 44m,G,7.2,65
A Beautiful Day in the Neighborhood,2019,1h 49m,PG,7.2,80
Man Up,2015,1h 28m,R,6.8,69
Mid90s,2018,1h 25m,R,7.3,66
Small Things Like These,2024,1h 36m,Other,7.3,82
The Matrix Revolutions,2003,2h 9m,R,6.7,47
Gasoline Rainbow,2023,1h 51m,Other,6.1,80
The A-Team,2010,1h 57m,PG-13,6.7,47
Ant-Man,2015,1h 57m,PG-13,7.2,64
Havoc,2005,1h 25m,R,5.5,0
The Fault in Our Stars,2014,2h 6m,PG-13,7.7,69
Unbroken,2014,2h 17m,PG-13,7.2,59
Army of Thieves,2021,2h 7m,TV-MA,6.4,49
Despicable Me 2,2013,1h 38m,PG,7.3,62
Daredevil,2003,1h 43m,PG-13,5.3,42
Thirteen Lives,2022,2h 27m,PG-13,7.8,66
Thir13en Ghosts,2001,1h 31m,R,5.6,30
Revolutionary Road,2008,1h 59m,R,7.3,69
Bridge of Spies,2015,2h 22m,PG-13,7.6,81
Die Another Day,2002,2h 13m,PG-13,6.1,56
The Babysitter,2017,1h 25m,TV-MA,6.4,0
The Burial,2023,2h 6m,R,7,74
Despicable Me 3,2017,1h 29m,PG,6.2,49
Crimes of the Future,2022,1h 47m,R,5.8,68
The Lie,2018,1h 37m,R,5.8,45
Machete Kills,2013,1h 47m,R,5.6,41
Joy Ride,2001,1h 37m,R,6.6,75
'71,2014,1h 39m,R,7.2,83
Foe,2023,1h 50m,R,5.4,44
Dallas Buyers Club,2013,1h 57m,R,7.9,77
The Disaster Artist,2017,1h 44m,R,7.3,76
The Hot Chick,2002,1h 44m,PG-13,5.6,29
Zoolander,2001,1h 30m,R,6.5,61
Kung Fu Panda 3,2016,1h 35m,PG,7.1,66
Midnight in Paris,2011,1h 34m,PG-13,7.6,81
Bruce Almighty,2003,1h 41m,PG-13,6.8,46
How to Date Billy Walsh,2024,1h 38m,Other,5.2,0
Cold Meat,2023,1h 30m,Other,5.3,0
Georgia Rule,2007,1h 53m,R,5.9,25
Downton Abbey,2019,2h 2m,PG,7.4,64
A Series of Unfortunate Events,2004,1h 48m,PG,6.8,62
Nanny McPhee Returns,2010,1h 49m,PG,6.1,52
Turbo,2013,1h 36m,PG,6.4,58
The Bank Job,2008,1h 51m,R,7.2,69
Starlet,2012,1h 43m,Other,6.9,74
Angel Has Fallen,2019,2h 1m,R,6.4,45
Conan the Barbarian,2011,1h 53m,R,5.1,36
The Rental,2020,1h 28m,R,5.7,62
Gravity,2013,1h 31m,PG-13,7.7,96
Splice,2009,1h 44m,R,5.8,66
King Arthur,2004,2h 6m,PG-13,6.3,46
There's Still Tomorrow,2023,1h 58m,Other,7.7,0
Treasure,2024,1h 52m,R,6.2,42
Richard Jewell,2019,2h 11m,R,7.5,68
Tetris,2023,1h 58m,R,7.4,61
The Edge of Seventeen,2016,1h 44m,R,7.3,77
Jack Reacher: Never Go Back,2016,1h 58m,PG-13,6.1,47
The Poughkeepsie Tapes,2007,1h 21m,R,6,0
The Mule,2018,1h 56m,R,7,58
Jarhead,2005,2h 5m,R,7,58
Robots,2005,1h 31m,PG,6.4,64
Coming 2 America,2021,1h 50m,PG-13,5.3,52
No Strings Attached,2011,1h 48m,R,6.2,50
Oz the Great and Powerful,2013,2h 10m,PG,6.3,44
Treasure Planet,2002,1h 35m,PG,7.2,60
Fast & Furious 6,2013,2h 10m,PG-13,7,61
Marriage Story,2019,2h 17m,R,7.9,94
Moonrise Kingdom,2012,1h 34m,PG-13,7.8,84
Prince of Persia: The Sands of Time,2010,1h 56m,PG-13,6.6,50
Night Hunter,2018,1h 38m,R,5.9,31
Trainwreck,2015,2h 5m,R,6.2,75
Quantum of Solace,2008,1h 46m,PG-13,6.5,58
Downton Abbey: A New Era,2022,2h 4m,PG,7.4,63
Evil Dead,2013,1h 31m,R,6.5,57
Anchorman: The Legend of Ron Burgundy,2004,1h 34m,PG-13,7.1,63
The End We Start From,2023,1h 42m,R,5.9,65
Jersey Boys,2014,2h 14m,R,6.8,54
American Star,2024,1h 47m,R,5.4,66
47 Meters Down,2017,1h 29m,PG-13,5.6,52
Scary Movie 2,2001,1h 23m,R,5.3,29
Dumb and Dumber To,2014,1h 49m,PG-13,5.6,36
The Other Woman,2014,1h 49m,PG-13,6,39
God's Own Country,2017,1h 44m,Other,7.6,85
Puppy Love,2023,1h 46m,R,6.3,0
Elysium,2013,1h 49m,R,6.6,61
Smokin' Aces,2006,1h 48m,R,6.6,45
High Fidelity,2000,1h 53m,R,7.4,79
The Descendants,2011,1h 55m,R,7.3,84
Southpaw,2015,2h 4m,R,7.3,57
Sleepless,2017,1h 35m,R,5.6,34
The Twilight Saga: Eclipse,2010,2h 4m,PG-13,5.1,58
The Other Zoey,2023,1h 31m,PG-13,5.9,0
"Tأ،r",2022,2h 38m,R,7.4,93
Chaos Walking,2021,1h 49m,PG-13,5.7,38
Suncoast,2024,1h 49m,R,6.6,61
A Silent Voice: The Movie,2016,2h 10m,Other,8.1,78
Hot Tub Time Machine,2010,1h 39m,R,6.4,63
Disobedience,2017,1h 54m,R,6.6,74
Boston Strangler,2023,1h 52m,R,6.5,58
Deer Camp '86,2022,1h 25m,R,8.4,0
Planet Terror,2007,1h 45m,R,7,0
Hairspray,2007,1h 57m,PG,6.7,81
Finding Dory,2016,1h 37m,PG,7.2,77
The Ides of March,2011,1h 41m,R,7.1,67
"Are You There God? It's Me, Margaret.",2023,1h 46m,PG-13,7.3,84
Lord of War,2005,2h 2m,R,7.6,62
Match Point,2005,2h 4m,R,7.6,72
22 Jump Street,2014,1h 52m,R,7,71
Jupiter Ascending,2015,2h 7m,PG-13,5.3,40
Nimona,2023,1h 41m,PG,7.5,75
Charlie's Angels,2000,1h 38m,PG-13,5.6,52
Only God Forgives,2013,1h 30m,R,5.7,37
Paul,2011,1h 44m,R,6.9,57
The Mauritanian,2021,2h 9m,R,7.5,53
Sex Tape,2014,1h 34m,R,5.1,36
Logan Lucky,2017,1h 58m,PG-13,7,78
Cold Mountain,2003,2h 34m,R,7.2,73
The Hurt Locker,2008,2h 11m,R,7.5,95
Hitman,2007,1h 34m,R,6.2,35
The Homesman,2014,2h 2m,R,6.6,68
Ghost in the Shell,2017,1h 47m,PG-13,6.3,52
Queenpins,2021,1h 50m,R,6.4,45
Hulk,2003,2h 18m,PG-13,5.6,54
The Sweet East,2023,1h 44m,Other,6.5,62
Darkest Hour,2017,2h 5m,PG-13,7.4,75
Secondhand Lions,2003,1h 49m,PG,7.5,52
The Boogeyman,2023,1h 38m,PG-13,5.9,55
Father Stu,2022,2h 4m,PG-13,6.5,40
First Man,2018,2h 21m,PG-13,7.3,84
9,2009,1h 19m,PG-13,7,60
Lara Croft: Tomb Raider,2001,1h 40m,PG-13,5.8,33
The Listener,2022,1h 36m,Other,5.5,64
Red Dragon,2002,2h 4m,R,7.2,60
Mysterious Skin,2004,1h 45m,Other,7.6,74
Escape Room,2019,1h 39m,PG-13,6.4,48
Retribution,2023,1h 31m,R,5.3,43
Hancock,2008,1h 32m,R,6.4,49
PAW Patrol: The Mighty Movie,2023,1h 28m,PG,5.9,49
Space Cowboys,2000,2h 10m,PG-13,6.5,73
Paradise,2023,1h 57m,TV-MA,6.3,0
Burnt,2015,1h 41m,R,6.6,42
Freaky,2020,1h 42m,R,6.3,67
Master and Commander: The Far Side of the World,2003,2h 18m,PG-13,7.5,81
Predators,2010,1h 47m,R,6.4,51
Hercules,2014,1h 38m,PG-13,6,47
The Lego Batman Movie,2017,1h 44m,PG,7.3,75
Pokأ©mon: Detective Pikachu,2019,1h 44m,PG,6.5,53
Deepwater Horizon,2016,1h 47m,PG-13,7.1,68
The Courier,2020,1h 52m,PG-13,7.2,65
The Invitation,2015,1h 40m,Other,6.6,74
Wanderlust,2012,1h 38m,R,5.6,53
Mechanic: Resurrection,2016,1h 38m,R,5.7,38
Fantastic Four,2005,1h 46m,PG-13,5.7,40
Eurovision Song Contest: The Story of Fire Saga,2020,2h 3m,PG-13,6.5,50
Pitch Perfect 2,2015,1h 55m,PG-13,6.4,63
Mona Lisa Smile,2003,1h 57m,PG-13,6.6,45
Focus,2015,1h 45m,R,6.6,56
Snow White and the Huntsman,2012,2h 7m,PG-13,6.1,57
Patriots Day,2016,2h 13m,R,7.3,69
Dogville,2003,2h 58m,R,8,61
Tinker Tailor Soldier Spy,2011,2h 7m,R,7,85
Jurassic Park III,2001,1h 32m,PG-13,5.9,42
Fracture,2007,1h 53m,R,7.2,68
The Fate of the Furious,2017,2h 16m,PG-13,6.6,56
Cheaper by the Dozen,2003,1h 38m,PG,5.9,46
Memory,2022,1h 54m,R,5.7,41
"The Way, My Way",2024,1h 38m,Other,6.8,0
Revolver,2005,1h 51m,R,6.3,25
Captain Phillips,2013,2h 14m,PG-13,7.8,82
Machete,2010,1h 45m,R,6.6,60
The Guernsey Literary and Potato Peel Pie Society,2018,2h 4m,TV-14,7.3,65
Walk the Line,2005,2h 16m,PG-13,7.8,72
I'm Thinking of Ending Things,2020,2h 14m,R,6.5,78
The Terminal,2004,2h 8m,PG-13,7.4,55
You Are So Not Invited to My Bat Mitzvah,2023,1h 43m,PG-13,6,71
Taken 3,2014,1h 48m,PG-13,6,26
Creed,2015,2h 13m,PG-13,7.6,82
The Wrong Missy,2020,1h 30m,TV-MA,5.8,33
Murder Mystery,2019,1h 37m,PG-13,6,38
Resident Evil: Welcome to Raccoon City,2021,1h 47m,R,5.2,44
Set It Up,2018,1h 45m,TV-14,6.5,62
Do Revenge,2022,1h 58m,TV-MA,6.3,66
Terminator Salvation,2009,1h 55m,PG-13,6.5,49
The Punisher,2004,2h 4m,R,6.4,33
Burlesque,2010,1h 59m,PG-13,6.4,47
Hellraiser,2022,2h 1m,R,5.9,55
Sleeping with Other People,2015,1h 41m,R,6.5,64
Queen of the Damned,2002,1h 41m,R,5.3,30
Joy Ride,2023,1h 35m,R,6.4,74
Frozen II,2019,1h 43m,PG,6.8,64
Origin,2023,2h 21m,PG-13,7.2,75
The Bourne Supremacy,2004,1h 48m,PG-13,7.7,73
Jungle Cruise,2021,2h 7m,PG-13,6.6,50
Phantom Thread,2017,2h 10m,R,7.4,90
Lawless,2012,1h 56m,R,7.2,58
Good Time,2017,1h 42m,R,7.3,80
Mud,2012,2h 10m,PG-13,7.4,76
Mary Poppins Returns,2018,2h 10m,PG,6.7,66
The Texas Chainsaw Massacre,2003,1h 38m,R,6.2,38
Race for Glory: Audi vs. Lancia,2024,1h 49m,R,5.8,51
Rock of Ages,2012,2h 3m,PG-13,5.9,47
Madagascar: Escape 2 Africa,2008,1h 29m,PG,6.6,61
Paddington,2014,1h 35m,PG,7.3,77
The Book of Eli,2010,1h 58m,R,6.8,53
Wanted,2008,1h 50m,R,6.7,64
The Scorpion King,2002,1h 32m,PG-13,5.5,45
Code 8: Part II,2024,1h 40m,TV-MA,5.7,40
Now You See Me 2,2016,2h 9m,PG-13,6.4,46
The Taking of Deborah Logan,2014,1h 30m,R,6,0
Enchanted,2007,1h 47m,PG,7.1,75
Rumours,2024,1h 58m,Other,7.3,71
Road to Perdition,2002,1h 57m,R,7.7,72
Ice Age: Continental Drift,2012,1h 28m,PG,6.5,49
About My Father,2023,1h 30m,PG-13,5.7,39
The King's Speech,2010,1h 58m,R,8,88
The Harder They Fall,2021,2h 19m,R,6.6,68
Chronicle,2012,1h 24m,PG-13,7,69
Good Boys,2019,1h 30m,R,6.7,0
Allegiant,2016,2h,PG-13,5.7,33
The Circle,2017,1h 50m,PG-13,5.4,43
Pineapple Express,2008,1h 51m,R,6.9,64
The Witches,2020,1h 46m,PG,5.4,47
Megamind,2010,1h 35m,PG,7.3,63
Hell House LLC,2015,1h 33m,Other,6.4,0
Lamborghini: The Man Behind the Legend,2022,1h 37m,R,5.4,0
Austin Powers in Goldmember,2002,1h 34m,PG-13,6.2,62
The Ugly Truth,2009,1h 36m,R,6.4,28
High Tension,2003,1h 31m,R,6.7,42
American Honey,2016,2h 43m,R,7,80
Lou,2022,1h 47m,R,6.1,51
Hotel Transylvania,2012,1h 31m,PG,7,47
Justice League: Crisis on Infinite Earths - Part Two,2024,1h 34m,PG-13,5.5,0
What Lies Beneath,2000,2h 10m,PG-13,6.6,51
Pig,2021,1h 32m,R,6.9,82
Warcraft,2016,2h 3m,PG-13,6.7,32
Killer Body Count,2024,1h 49m,Other,5.5,0
Backspot,2023,1h 33m,Other,6.9,0
Saving Mr. Banks,2013,2h 5m,PG-13,7.5,65
Butcher's Crossing,2022,1h 45m,R,5.6,55
Late Bloomers,2023,1h 29m,Other,7.7,58
Den of Thieves,2018,2h 20m,R,7,49
Hunt for the Wilderpeople,2016,1h 41m,PG-13,7.8,81
Decision to Leave,2022,2h 19m,Other,7.3,85
Moon,2009,1h 37m,R,7.8,67
Silence,2016,2h 41m,R,7.2,79
Mrs. Harris Goes to Paris,2022,1h 55m,PG,7.1,70
Straight Outta Compton,2015,2h 27m,R,7.8,72
Green Room,2015,1h 35m,R,7,79
The Last House on the Left,2009,1h 50m,R,6.5,42
Booksmart,2019,1h 42m,R,7.1,84
Munich,2005,2h 44m,R,7.5,74
My Sister's Keeper,2009,1h 49m,PG-13,7.3,51
Intimacy,2001,1h 59m,Other,6,69
Before Sunset,2004,1h 20m,R,8.1,91
Taylor Swift: The Eras Tour,2023,2h 49m,PG-13,8,82
Frailty,2001,1h 40m,R,7.2,64
Licorice Pizza,2021,2h 13m,R,7.1,90
The Outpost,2019,2h 3m,R,6.8,71
Thor: The Dark World,2013,1h 52m,PG-13,6.8,54
Shrek Forever After,2010,1h 33m,PG,6.3,58
Happiness for Beginners,2023,1h 43m,TV-14,6.1,48
Geostorm,2017,1h 49m,PG-13,5.3,21
End of Watch,2012,1h 49m,R,7.6,68
Knight and Day,2010,1h 49m,PG-13,6.3,46
28 Days,2000,1h 43m,PG-13,6.1,46
Like Father,2018,1h 38m,TV-MA,6.1,52
Ella Enchanted,2004,1h 36m,PG,6.3,53
The Bourne Ultimatum,2007,1h 55m,PG-13,8,85
Enemy at the Gates,2001,2h 11m,R,7.5,53
The 5th Wave,2016,1h 52m,PG-13,5.2,33
Kick-Ass 2,2013,1h 43m,R,6.5,41
Rango,2011,1h 47m,PG,7.3,75
The Retirement Plan,2023,1h 43m,R,5.1,0
Self Reliance,2023,1h 25m,R,6.1,59
Olympus Has Fallen,2013,1h 59m,R,6.5,41
Trolls World Tour,2020,1h 31m,PG,6.1,51
Priest,2011,1h 27m,PG-13,5.7,41
On the Basis of Sex,2018,2h,PG-13,7.1,59
Zathura: A Space Adventure,2005,1h 41m,PG,6.3,67
Bronson,2008,1h 32m,R,7,71
The Ruins,2008,1h 30m,R,5.9,44
Out of Darkness,2022,1h 28m,R,5.5,68
The Square,2017,2h 31m,R,7.1,73
127 Hours,2010,1h 34m,R,7.5,82
Rambo,2008,1h 32m,R,7,46
The Lorax,2012,1h 26m,PG,6.4,46
Enter the Void,2009,2h 41m,Other,7.2,69
Family Switch,2023,1h 46m,PG,5.7,37
Gunpowder Milkshake,2021,1h 54m,R,6.1,47
Alien vs. Predator,2004,1h 41m,PG-13,5.7,29
The Family,2013,1h 51m,R,6.3,42
Terminator 3: Rise of the Machines,2003,1h 49m,R,6.3,66
Happy Death Day,2017,1h 36m,PG-13,6.6,58
Marry Me,2022,1h 52m,PG-13,6.1,51
Annabelle,2014,1h 39m,R,5.4,37
Killing Me Softly,2002,1h 40m,Other,5.4,0
Insidious: The Red Door,2023,1h 47m,PG-13,5.5,45
Meet the Parents,2000,1h 48m,PG-13,7,73
Cold Pursuit,2019,1h 59m,R,6.2,57
Sin City: A Dame to Kill For,2014,1h 42m,R,6.5,46
View from the Top,2003,1h 27m,PG-13,5.3,27
Burning,2018,2h 28m,Other,7.5,91
Under the Tuscan Sun,2003,1h 53m,PG-13,6.7,52
Instant Family,2018,1h 58m,PG-13,7.3,57
"Good Luck to You, Leo Grande",2022,1h 37m,R,7.2,78
Something's Gotta Give,2003,2h 8m,PG-13,6.7,66
Blockers,2018,1h 42m,R,6.2,69
Marrowbone,2017,1h 50m,R,6.7,63
Rust Creek,2018,1h 48m,R,5.9,59
A Ghost Story,2017,1h 32m,R,6.8,84
Anna Karenina,2012,2h 9m,R,6.6,63
The Theory of Everything,2014,2h 3m,PG-13,7.7,71
Last Knights,2015,1h 55m,R,6.2,27
Red Right Hand,2024,1h 51m,Other,5.4,48
Sanctuary,2022,1h 36m,R,6.3,67
Locked In,2023,1h 36m,TV-MA,5.1,0
3:10 to Yuma,2007,2h 2m,R,7.6,76
Monolith,2022,1h 34m,R,5.9,61
The Art of Racing in the Rain,2019,1h 49m,PG,7.6,43
We're All Going to the World's Fair,2021,1h 26m,R,5.4,78
The Wonder,2022,1h 48m,R,6.6,71
Mr. Nobody,2009,2h 21m,R,7.7,63
Paint,2023,1h 36m,PG-13,5,45
The Postcard Killings,2020,1h 44m,Other,5.8,29
The Fighter,2010,1h 56m,R,7.8,79
Wild,2014,1h 55m,R,7.1,74
Lee,2023,1h 56m,R,7,59
Dangerous,2021,1h 39m,R,5.2,27
Fear Street: Part One - 1994,2021,1h 47m,R,6.2,67
It Comes at Night,2017,1h 31m,R,6.2,78
Grandma's Boy,2006,1h 34m,R,6.9,33
Miss Congeniality,2000,1h 49m,PG-13,6.3,43
Last Moment of Clarity,2020,1h 30m,R,5.2,0
Seven Psychopaths,2012,1h 50m,R,7.1,66
A Million Ways to Die in the West,2014,1h 56m,R,6.1,44
Freaky Friday,2003,1h 37m,PG,6.3,70
Carrie,2013,1h 40m,R,5.8,53
Morgan,2016,1h 32m,R,5.8,48
Heartbreakers,2001,2h 3m,PG-13,6.2,47
Cloudy with a Chance of Meatballs,2009,1h 30m,PG,6.9,66
How to Train Your Dragon: The Hidden World,2019,1h 44m,PG,7.4,71
Ghost Ship,2002,1h 31m,R,5.6,28
John Tucker Must Die,2006,1h 29m,PG-13,5.7,41
Shotgun Wedding,2022,1h 41m,R,5.5,46
One More Shot,2024,1h 43m,R,5.4,0
Joy,2015,2h 4m,PG-13,6.6,56
The Heat,2013,1h 57m,R,6.6,60
Shark Tale,2004,1h 30m,PG,6,48
Adore,2013,1h 52m,R,6.2,37
Bad Teacher,2011,1h 32m,R,5.7,47
Dark Shadows,2012,1h 53m,PG-13,6.2,55
Into the Woods,2014,2h 5m,PG,5.9,69
Flags of Our Fathers,2006,2h 15m,R,7.1,79
Nacho Libre,2006,1h 32m,PG,5.9,52
Murder Mystery 2,2023,1h 30m,PG-13,5.7,44
The Beguiled,2017,1h 33m,R,6.3,77
Club Zero,2023,1h 50m,Other,5.9,57
Journey to the Center of the Earth,2008,1h 33m,PG,5.8,57
Solomon Kane,2009,1h 44m,R,6.1,48
The Boss Baby,2017,1h 37m,PG,6.3,50
Girls Trip,2017,2h 2m,R,6.2,71
Elephant,2003,1h 21m,R,7.1,70
Fighting with My Family,2019,1h 48m,PG-13,7.1,68
Nanny McPhee,2005,1h 37m,PG,6.6,59
Kung Fu Panda 2,2011,1h 30m,PG,7.3,67
Someone Like You,2024,1h 58m,PG,6.8,0
Felony,2013,1h 45m,TV-MA,6.1,52
Power Rangers,2017,2h 4m,PG-13,5.9,44
Justice League: Crisis on Infinite Earths - Part One,2024,1h 33m,PG-13,6.3,0
The Gift,2000,1h 51m,R,6.7,62
Ralph Breaks the Internet,2018,1h 52m,PG,7,71
Io Capitano,2023,2h 1m,Other,7.6,79
You're Next,2011,1h 35m,R,6.6,66
Zombieland: Double Tap,2019,1h 39m,R,6.7,55
The Best of Me,2014,1h 58m,PG-13,6.7,29
G.I. Joe: The Rise of Cobra,2009,1h 58m,PG-13,5.7,32
Prom Dates,2024,1h 26m,Other,5.1,44
The Sorcerer's Apprentice,2010,1h 49m,PG,6.1,46
I Am Sam,2001,2h 12m,PG-13,7.6,28
Amy,2015,2h 8m,R,7.8,85
Last Seen Alive,2022,1h 35m,R,5.7,0
The Transporter,2002,1h 32m,PG-13,6.8,51
Paprika,2006,1h 30m,R,7.7,81
21,2008,2h 3m,PG-13,6.8,48
Hollow Man,2000,1h 52m,R,5.8,24
Problemista,2023,1h 44m,R,6.8,71
The Expendables 2,2012,1h 43m,R,6.6,51
Garfield: A Tail of Two Kitties,2006,1h 22m,PG,5,37
Beauty and the Beast,2014,1h 52m,PG-13,6.4,39
Up in the Air,2009,1h 49m,R,7.4,83
Breakwater,2023,1h 37m,R,5.2,0
The Secret Life of Pets,2016,1h 26m,PG,6.5,61
In the Shadow of the Moon,2019,1h 55m,TV-MA,6.2,48
Far from the Madding Crowd,2015,1h 59m,PG-13,7.1,71
Freaks,2018,1h 45m,R,6.7,63
Guillermo del Toro's Pinocchio,2022,1h 57m,PG,7.6,79
Mother's Day,2016,1h 58m,PG-13,5.6,18
The Gambler,2014,1h 51m,R,6,55
Ruby Gillman: Teenage Kraken,2023,1h 31m,PG,5.7,50
The Blackening,2022,1h 37m,R,6,67
Peter Pan,2003,1h 53m,PG,6.8,64
Allied,2016,2h 4m,R,7.1,60
Ponyo,2008,1h 41m,G,7.6,86
Grindhouse,2007,3h 11m,R,7.5,77
I Am Number Four,2011,1h 51m,PG-13,6.1,36
Dog,2022,1h 41m,PG-13,6.5,61
Papillon,2017,2h 13m,R,7.2,51
Magic Mike,2012,1h 50m,R,6.1,72
Alexander,2004,2h 55m,R,5.6,40
Zack and Miri Make a Porno,2008,1h 41m,R,6.5,56
Creed III,2023,1h 56m,PG-13,6.7,73
Meet the Robinsons,2007,1h 35m,G,6.8,61
Nomadland,2020,1h 47m,R,7.3,87
Dirty Grandpa,2016,1h 42m,R,5.9,21
Samaritan,2022,1h 42m,PG-13,5.7,45
They Cloned Tyrone,2023,2h 2m,R,6.6,74
Day Shift,2022,1h 53m,R,6.1,51
The Silencing,2020,1h 33m,R,6.3,0
Before the Devil Knows You're Dead,2007,1h 57m,R,7.3,86
Babel,2006,2h 23m,R,7.5,69
Spencer,2021,1h 57m,R,6.6,76
Scream 4,2011,1h 51m,R,6.2,52
Meet the Fockers,2004,1h 55m,PG-13,6.3,41
The Upside,2017,2h 6m,PG-13,7,46
Deja Vu,2006,2h 6m,PG-13,7.1,59
Begin Again,2013,1h 44m,R,7.4,62
Savages,2012,2h 11m,R,6.4,59
Crank: High Voltage,2009,1h 36m,R,6.1,41
The Perfect Storm,2000,2h 10m,PG-13,6.5,59
National Treasure: Book of Secrets,2007,2h 4m,PG,6.5,48
The Mitchells vs. the Machines,2021,1h 54m,PG,7.6,81
Youth,2015,2h 4m,R,7.3,64
The Great Escaper,2023,1h 36m,Other,7,68
Devotion,2022,2h 19m,PG-13,6.6,66
The Fall,2006,1h 57m,R,7.8,64
Outlaw King,2018,2h 1m,R,6.9,59
The Time Machine,2002,1h 36m,PG-13,6,42
The Chronicles of Riddick,2004,1h 59m,R,6.6,38
Charlie's Angels,2019,1h 58m,PG-13,5,52
Finch,2021,1h 55m,PG-13,6.9,57
1408,2007,1h 44m,PG-13,6.8,64
The Wrestler,2008,1h 49m,R,7.9,80
White House Down,2013,2h 11m,PG-13,6.3,52
The Spiderwick Chronicles,2008,1h 36m,PG,6.5,62
The Lizzie McGuire Movie,2003,1h 34m,PG,5.5,56
Assassination,2015,2h 20m,Other,7.2,64
Bleed for This,2016,1h 57m,R,6.8,62
Spenser Confidential,2020,1h 51m,R,6.2,49
The Three Musketeers,2011,1h 50m,PG-13,5.7,35
Safe Haven,2013,1h 55m,PG-13,6.7,34
The Grudge,2004,1h 31m,PG-13,5.9,49
RocknRolla,2008,1h 54m,R,7.2,53
